chroma_means_0,chroma_means_1,chroma_means_10,chroma_means_11,chroma_means_2,chroma_means_3,chroma_means_4,chroma_means_5,chroma_means_6,chroma_means_7,chroma_means_8,chroma_means_9,contrast_means_0,contrast_means_1,contrast_means_2,contrast_means_3,contrast_means_4,contrast_means_5,contrast_means_6,duration_sec,dynamic_range,filename,filesize_mb,mfcc_means_0,mfcc_means_1,mfcc_means_10,mfcc_means_11,mfcc_means_12,mfcc_means_2,mfcc_means_3,mfcc_means_4,mfcc_means_5,mfcc_means_6,mfcc_means_7,mfcc_means_8,mfcc_means_9,rms_mean,rms_std,sample_rate,session,spectral_bandwidth_mean,spectral_centroid_mean,spectral_centroid_std,spectral_flatness_mean,spectral_rolloff_mean,tempo_bpm,zero_crossing_rate_mean
0.467,0.24,0.377,0.294,0.213,0.325,0.335,0.431,0.278,0.364,0.496,0.353,19.989,17.319,20.29,20.85,16.952,17.252,45.105,183.31,0.1344,01-unplayed-ambient.mp3,5.6,-260.6,164.13,1.3,3.45,-2.99,51.71,40.76,-2.27,4.65,9.12,-2.75,-0.72,2.09,0.1133,0.0429,22050,music,1337.6,696.6,244.7,0.0004,988.5,117.5,0.0252
0.249,0.24,0.241,0.265,0.374,0.301,0.356,0.211,0.153,0.197,0.256,0.368,21.489,22.323,23.4,23.204,19.888,20.884,44.612,202.34,0.2277,01-unplayed-indie-folk.mp3,6.18,-246.86,87.28,-6.56,-2.0,-10.65,31.01,26.58,0.11,1.18,19.53,-7.38,14.74,5.22,0.1098,0.0709,22050,music,2502.5,1995.6,1113.0,0.0079,4356.3,89.1,0.0646
0.307,0.243,0.372,0.253,0.29,0.229,0.278,0.181,0.14,0.209,0.301,0.546,21.429,22.549,22.764,22.112,19.362,19.278,44.033,237.59,0.2346,02-unplayed-indie-folk.mp3,7.26,-261.69,90.96,-1.22,-3.44,-7.35,32.27,34.19,7.73,15.9,15.19,2.91,12.61,4.2,0.1085,0.0723,22050,music,2016.8,1502.3,1011.1,0.0045,3086.3,86.1,0.0501
0.301,0.351,0.21,0.211,0.563,0.376,0.262,0.251,0.135,0.145,0.162,0.26,22.182,19.46,23.495,21.288,19.689,19.994,47.29,203.7,0.2512,03-five-holes-in-a-bone.mp3,6.23,-243.36,76.64,1.65,5.7,-5.68,20.29,27.49,5.52,4.77,6.55,-4.64,15.81,4.29,0.1088,0.0761,22050,music,2231.8,1895.2,1101.7,0.0075,3976.0,86.1,0.0688
0.281,0.251,0.276,0.228,0.365,0.281,0.349,0.397,0.336,0.433,0.387,0.418,22.112,18.275,21.997,19.623,18.273,17.692,47.741,173.58,0.1983,04-genre-matrix-lofi.mp3,5.31,-226.3,109.97,4.86,-0.36,-0.12,7.65,40.09,0.86,7.48,-3.74,3.86,-2.71,2.99,0.1127,0.0609,22050,music,1794.1,1561.8,961.9,0.0064,2962.6,86.1,0.0626
0.381,0.429,0.375,0.319,0.606,0.435,0.332,0.31,0.303,0.333,0.374,0.496,20.913,15.655,19.536,18.219,17.083,17.005,45.746,229.7,0.1704,05-genre-matrix-synthwave.mp3,7.02,-133.16,45.91,5.46,9.71,0.71,-1.49,32.53,2.39,7.86,9.39,3.19,7.16,8.21,0.113,0.0518,22050,music,2692.6,3047.6,1028.5,0.0406,6162.3,95.7,0.1371
0.257,0.31,0.274,0.251,0.454,0.347,0.296,0.264,0.202,0.251,0.285,0.388,23.506,20.448,23.144,21.84,18.891,19.342,47.966,167.69,0.2067,06-the-jazz-police.mp3,5.13,-256.15,87.55,-3.45,5.4,-1.99,25.81,36.42,-0.6,5.85,14.21,3.52,2.41,4.38,0.1011,0.0619,22050,music,2144.0,1728.3,1059.4,0.0074,3550.2,80.7,0.0558
0.342,0.26,0.299,0.372,0.313,0.32,0.449,0.336,0.284,0.274,0.275,0.366,21.386,20.119,21.384,19.473,19.196,18.109,44.964,196.17,0.2346,07-the-session-composed-itself.mp3,6.0,-212.49,75.03,-4.68,-3.09,-9.25,13.99,13.89,6.37,8.36,4.4,-1.93,4.16,-1.26,0.1202,0.0722,22050,music,2419.3,2220.4,1333.3,0.0207,4530.1,89.1,0.0872
0.371,0.304,0.294,0.291,0.325,0.28,0.32,0.432,0.358,0.371,0.344,0.353,23.045,17.28,21.216,19.574,18.252,17.789,45.705,176.18,0.2833,08-the-snap-is-the-groove.mp3,5.39,-214.76,65.09,-4.41,-3.28,-2.59,5.53,25.27,-2.89,3.8,-2.07,-3.02,-11.42,-0.52,0.1218,0.0863,22050,music,2306.5,2263.3,1208.9,0.0242,4587.2,129.2,0.0881
0.247,0.187,0.281,0.434,0.264,0.223,0.294,0.2,0.307,0.303,0.22,0.304,22.195,20.125,24.068,21.778,20.228,20.508,46.288,193.53,0.1847,09-the-shell-merchant.mp3,5.92,-239.63,109.55,-5.1,-2.15,-5.06,6.63,40.34,14.62,0.09,-0.4,-2.53,-8.82,1.56,0.0994,0.0569,22050,music,1875.9,1558.7,988.7,0.0074,3017.8,143.6,0.0666
